epoch,beta,train_total,train_recon,train_kl,val_total,val_recon,val_kl,lr
8,0.001,0.07943,0.07350,5.92403,0.07877,0.07279,5.97704,1.00e-03
9,0.001,0.07796,0.07200,5.96274,0.07647,0.07048,5.98632,1.00e-03
10,0.001,0.07710,0.07108,6.02421,0.07625,0.07035,5.89938,1.00e-03
11,0.001,0.07680,0.07079,6.01359,0.07532,0.06918,6.13608,1.00e-03
12,0.001,0.07584,0.06979,6.05385,0.07588,0.06959,6.28887,1.00e-03
13,0.001,0.07530,0.06923,6.06762,0.07458,0.06837,6.21290,1.00e-03
14,0.001,0.07527,0.06918,6.09167,0.08286,0.07626,6.59743,1.00e-03
15,0.001,0.07426,0.06815,6.10416,0.07371,0.06802,5.69109,1.00e-03
16,0.001,0.07384,0.06774,6.10009,0.07404,0.06782,6.21314,1.00e-03
17,0.001,0.07368,0.06752,6.15918,0.07408,0.06770,6.38060,1.00e-03
18,0.001,0.07300,0.06684,6.16248,0.07312,0.06694,6.18033,1.00e-03
19,0.001,0.07305,0.06685,6.20031,0.07143,0.06543,6.00716,1.00e-03
20,0.001,0.07227,0.06608,6.19185,0.07311,0.06688,6.22720,1.00e-03
21,0.001,0.07243,0.06621,6.22232,0.07277,0.06648,6.29258,1.00e-03
22,0.001,0.07155,0.06531,6.23784,0.07131,0.06501,6.29575,1.00e-03
23,0.001,0.07107,0.06484,6.23391,0.07258,0.06624,6.33554,1.00e-03
24,0.001,0.07129,0.06505,6.24036,0.07010,0.06369,6.41042,1.00e-03
25,0.001,0.07094,0.06466,6.28014,0.07033,0.06386,6.46425,1.00e-03
26,0.001,0.07037,0.06406,6.30897,0.07346,0.06716,6.30770,1.00e-03
27,0.001,0.07023,0.06392,6.30392,0.07023,0.06383,6.39432,1.00e-03
28,0.001,0.06984,0.06353,6.31454,0.07039,0.06407,6.32079,1.00e-03
29,0.001,0.06985,0.06354,6.30723,0.06987,0.06364,6.22381,1.00e-03
30,0.001,0.06961,0.06326,6.34571,0.06981,0.06331,6.49628,1.00e-03
31,0.001,0.06935,0.06297,6.37783,0.07001,0.06352,6.49205,1.00e-03
32,0.001,0.06866,0.06231,6.35201,0.07249,0.06632,6.17249,1.00e-03
33,0.001,0.06922,0.06285,6.37362,0.06851,0.06191,6.60014,1.00e-03
34,0.001,0.06841,0.06203,6.38068,0.06672,0.06036,6.36560,1.00e-03
35,0.001,0.06844,0.06205,6.38560,0.06916,0.06307,6.08900,1.00e-03
36,0.001,0.06817,0.06177,6.39937,0.06879,0.06233,6.46049,1.00e-03
37,0.001,0.06800,0.06158,6.41551,0.06784,0.06146,6.38197,1.00e-03
38,0.001,0.06792,0.06150,6.41895,0.06766,0.06092,6.74018,1.00e-03
39,0.001,0.06760,0.06114,6.45626,0.06801,0.06171,6.29692,1.00e-03
40,0.001,0.06720,0.06076,6.43559,0.06773,0.06150,6.22910,1.00e-03
41,0.001,0.06742,0.06097,6.44476,0.06740,0.06092,6.48086,1.00e-03
42,0.001,0.06673,0.06027,6.46081,0.06916,0.06268,6.48374,1.00e-03
43,0.001,0.06689,0.06042,6.46748,0.06688,0.06058,6.29927,1.00e-03
44,0.001,0.06644,0.05998,6.46856,0.06845,0.06207,6.38040,1.00e-03
45,0.001,0.06666,0.06018,6.47637,0.06781,0.06120,6.60498,5.00e-04
46,0.001,0.06391,0.05740,6.50972,0.06435,0.05783,6.52166,5.00e-04
47,0.001,0.06375,0.05725,6.49814,0.06434,0.05787,6.46987,5.00e-04
48,0.001,0.06308,0.05658,6.49648,0.06417,0.05758,6.59417,5.00e-04
49,0.001,0.06330,0.05681,6.49486,0.06605,0.05955,6.50663,5.00e-04
50,0.001,0.06309,0.05658,6.51035,0.06402,0.05743,6.58626,5.00e-04
51,0.001,0.06313,0.05661,6.51432,0.06354,0.05698,6.56040,5.00e-04
52,0.001,0.06270,0.05617,6.53033,0.06396,0.05756,6.39576,5.00e-04
53,0.001,0.06278,0.05624,6.53860,0.06439,0.05788,6.51411,5.00e-04
54,0.001,0.06316,0.05662,6.54064,0.06383,0.05732,6.50989,5.00e-04
55,0.001,0.06249,0.05595,6.53927,0.06386,0.05731,6.54754,5.00e-04
56,0.001,0.06227,0.05571,6.56237,0.06440,0.05787,6.53186,5.00e-04
57,0.001,0.06238,0.05582,6.56002,0.06335,0.05683,6.51979,5.00e-04
58,0.001,0.06194,0.05538,6.55954,0.06300,0.05647,6.53206,5.00e-04
59,0.001,0.06223,0.05566,6.56656,0.06313,0.05651,6.62600,5.00e-04
60,0.001,0.06176,0.05521,6.55474,0.06376,0.05704,6.71259,5.00e-04
61,0.001,0.06172,0.05514,6.58071,0.06310,0.05647,6.63257,5.00e-04
62,0.001,0.06145,0.05485,6.59498,0.06277,0.05620,6.56964,5.00e-04
63,0.001,0.06189,0.05527,6.61373,0.06281,0.05616,6.64943,5.00e-04
64,0.001,0.06138,0.05477,6.61360,0.06326,0.05652,6.74520,5.00e-04
65,0.001,0.06117,0.05455,6.62137,0.06279,0.05599,6.79584,5.00e-04
66,0.001,0.06114,0.05451,6.63413,0.06354,0.05677,6.77474,5.00e-04
67,0.001,0.06117,0.05452,6.64686,0.06321,0.05637,6.84346,5.00e-04
68,0.001,0.06135,0.05471,6.63942,0.06242,0.05578,6.63587,5.00e-04
69,0.001,0.06095,0.05431,6.63226,0.06234,0.05573,6.61272,5.00e-04
70,0.001,0.06092,0.05426,6.65897,0.06296,0.05627,6.68554,5.00e-04
71,0.001,0.06117,0.05453,6.64374,0.06218,0.05551,6.66628,5.00e-04
72,0.001,0.06090,0.05424,6.65981,0.06234,0.05568,6.65803,5.00e-04
73,0.001,0.06050,0.05382,6.67534,0.06222,0.05540,6.81670,5.00e-04
74,0.001,0.06025,0.05360,6.64841,0.06240,0.05572,6.67822,5.00e-04
75,0.001,0.06065,0.05397,6.67806,0.06344,0.05672,6.72237,5.00e-04
76,0.001,0.06024,0.05356,6.68308,0.06161,0.05506,6.55182,5.00e-04
77,0.001,0.06024,0.05356,6.68495,0.06238,0.05573,6.64708,5.00e-04
78,0.001,0.06023,0.05354,6.69389,0.06202,0.05533,6.69171,5.00e-04
79,0.001,0.05999,0.05331,6.68362,0.06135,0.05466,6.68560,5.00e-04
80,0.001,0.06002,0.05332,6.70072,0.06234,0.05550,6.83973,5.00e-04
81,0.001,0.05979,0.05309,6.70223,0.06136,0.05461,6.74878,5.00e-04
82,0.001,0.05991,0.05322,6.68391,0.06161,0.05493,6.67483,5.00e-04
83,0.001,0.05978,0.05307,6.71342,0.06174,0.05492,6.81952,5.00e-04
84,0.001,0.05987,0.05315,6.72334,0.06227,0.05541,6.85709,5.00e-04
85,0.001,0.05978,0.05306,6.71664,0.06070,0.05410,6.60244,5.00e-04
86,0.001,0.05974,0.05302,6.72080,0.06156,0.05471,6.84768,5.00e-04
87,0.001,0.05944,0.05269,6.75075,0.06085,0.05430,6.54491,5.00e-04
88,0.001,0.05967,0.05294,6.72843,0.06216,0.05532,6.83786,5.00e-04
89,0.001,0.05947,0.05275,6.72085,0.06179,0.05513,6.66216,5.00e-04
90,0.001,0.05952,0.05277,6.75082,0.06108,0.05428,6.80359,5.00e-04
91,0.001,0.05948,0.05272,6.75374,0.06114,0.05452,6.62689,5.00e-04
92,0.001,0.05936,0.05262,6.74266,0.06093,0.05409,6.83930,5.00e-04
93,0.001,0.05913,0.05236,6.76219,0.06089,0.05417,6.72232,5.00e-04
94,0.001,0.05896,0.05221,6.75248,0.06113,0.05437,6.75884,5.00e-04
95,0.001,0.05922,0.05246,6.75941,0.06133,0.05452,6.80787,5.00e-04
96,0.001,0.05902,0.05224,6.77812,0.06133,0.05463,6.70535,2.50e-04
97,0.001,0.05723,0.05046,6.77452,0.05967,0.05294,6.73317,2.50e-04
98,0.001,0.05687,0.05005,6.81419,0.05961,0.05275,6.86561,2.50e-04
